outer_color_hex,inner_color_hex
#590D0D,#A51818
#590D0D,#E52222
#590D0D,#59260D
#590D0D,#A54718
#590D0D,#E56322
#590D0D,#59330D
#590D0D,#A55F18
#590D0D,#E58322
#590D0D,#59460D
#590D0D,#A58218
#590D0D,#E5B422
#590D0D,#59590D
#590D0D,#A5A518
#590D0D,#E5E522
#590D0D,#3F590D
#590D0D,#76A518
#590D0D,#A4E522
#590D0D,#26590D
#590D0D,#47A518
#590D0D,#63E522
#590D0D,#0D590D
#590D0D,#18A518
#590D0D,#22E522
#590D0D,#0D5926
#590D0D,#18A547
#590D0D,#22E563
#590D0D,#0D593F
#590D0D,#18A576
#590D0D,#22E5A4
#590D0D,#0D5959
#590D0D,#18A5A5
#590D0D,#22E5E5
#590D0D,#0D3F59
#590D0D,#1876A5
#590D0D,#22A4E5
#590D0D,#0D2659
#590D0D,#1847A5
#590D0D,#2263E5
#590D0D,#1A0D59
#590D0D,#3018A5
#590D0D,#4222E5
#590D0D,#330D59
#590D0D,#5F18A5
#590D0D,#8322E5
#590D0D,#4C0D59
#590D0D,#8E18A5
#590D0D,#C422E5
#590D0D,#590D3F
#590D0D,#A51876
#590D0D,#E522A4
#590D0D,#590D26
#590D0D,#A51847
#590D0D,#E52263
#A51818,#590D0D
#A51818,#E52222
#A51818,#59260D
#A51818,#A54718
#A51818,#E56322
#A51818,#59330D
#A51818,#A55F18
#A51818,#E58322
#A51818,#59460D
#A51818,#A58218
#A51818,#E5B422
#A51818,#59590D
#A51818,#A5A518
#A51818,#E5E522
#A51818,#3F590D
#A51818,#76A518
#A51818,#A4E522
#A51818,#26590D
#A51818,#47A518
#A51818,#63E522
#A51818,#0D590D
#A51818,#18A518
#A51818,#22E522
#A51818,#0D5926
#A51818,#18A547
#A51818,#22E563
#A51818,#0D593F
#A51818,#18A576
#A51818,#22E5A4
#A51818,#0D5959
#A51818,#18A5A5
#A51818,#22E5E5
#A51818,#0D3F59
#A51818,#1876A5
#A51818,#22A4E5
#A51818,#0D2659
#A51818,#1847A5
#A51818,#2263E5
#A51818,#1A0D59
#A51818,#3018A5
#A51818,#4222E5
#A51818,#330D59
#A51818,#5F18A5
#A51818,#8322E5
#A51818,#4C0D59
#A51818,#8E18A5
#A51818,#C422E5
#A51818,#590D3F
#A51818,#A51876
#A51818,#E522A4
#A51818,#590D26
#A51818,#A51847
#A51818,#E52263
#E52222,#590D0D
#E52222,#A51818
#E52222,#59260D
#E52222,#A54718
#E52222,#E56322
#E52222,#59330D
#E52222,#A55F18
#E52222,#E58322
#E52222,#59460D
#E52222,#A58218
#E52222,#E5B422
#E52222,#59590D
#E52222,#A5A518
#E52222,#E5E522
#E52222,#3F590D
#E52222,#76A518
#E52222,#A4E522
#E52222,#26590D
#E52222,#47A518
#E52222,#63E522
#E52222,#0D590D
#E52222,#18A518
#E52222,#22E522
#E52222,#0D5926
#E52222,#18A547
#E52222,#22E563
#E52222,#0D593F
#E52222,#18A576
#E52222,#22E5A4
#E52222,#0D5959
#E52222,#18A5A5
#E52222,#22E5E5
#E52222,#0D3F59
#E52222,#1876A5
#E52222,#22A4E5
#E52222,#0D2659
#E52222,#1847A5
#E52222,#2263E5
#E52222,#1A0D59
#E52222,#3018A5
#E52222,#4222E5
#E52222,#330D59
#E52222,#5F18A5
#E52222,#8322E5
#E52222,#4C0D59
#E52222,#8E18A5
#E52222,#C422E5
#E52222,#590D3F
#E52222,#A51876
#E52222,#E522A4
#E52222,#590D26
#E52222,#A51847
#E52222,#E52263
#59260D,#590D0D
#59260D,#A51818
#59260D,#E52222
#59260D,#A54718
#59260D,#E56322
#59260D,#59330D
#59260D,#A55F18
#59260D,#E58322
#59260D,#59460D
#59260D,#A58218
#59260D,#E5B422
#59260D,#59590D
#59260D,#A5A518
#59260D,#E5E522
#59260D,#3F590D
#59260D,#76A518
#59260D,#A4E522
#59260D,#26590D
#59260D,#47A518
#59260D,#63E522
#59260D,#0D590D
#59260D,#18A518
#59260D,#22E522
#59260D,#0D5926
#59260D,#18A547
#59260D,#22E563
#59260D,#0D593F
#59260D,#18A576
#59260D,#22E5A4
#59260D,#0D5959
#59260D,#18A5A5
#59260D,#22E5E5
#59260D,#0D3F59
#59260D,#1876A5
#59260D,#22A4E5
#59260D,#0D2659
#59260D,#1847A5
#59260D,#2263E5
#59260D,#1A0D59
#59260D,#3018A5
#59260D,#4222E5
#59260D,#330D59
#59260D,#5F18A5
#59260D,#8322E5
#59260D,#4C0D59
#59260D,#8E18A5
#59260D,#C422E5
#59260D,#590D3F
#59260D,#A51876
#59260D,#E522A4
#59260D,#590D26
#59260D,#A51847
#59260D,#E52263
#A54718,#590D0D
#A54718,#A51818
#A54718,#E52222
#A54718,#59260D
#A54718,#E56322
#A54718,#59330D
#A54718,#A55F18
#A54718,#E58322
#A54718,#59460D
#A54718,#A58218
#A54718,#E5B422
#A54718,#59590D
#A54718,#A5A518
#A54718,#E5E522
#A54718,#3F590D
#A54718,#76A518
#A54718,#A4E522
#A54718,#26590D
#A54718,#47A518
#A54718,#63E522
#A54718,#0D590D
#A54718,#18A518
#A54718,#22E522
#A54718,#0D5926
#A54718,#18A547
#A54718,#22E563
#A54718,#0D593F
#A54718,#18A576
#A54718,#22E5A4
#A54718,#0D5959
#A54718,#18A5A5
#A54718,#22E5E5
#A54718,#0D3F59
#A54718,#1876A5
#A54718,#22A4E5
#A54718,#0D2659
#A54718,#1847A5
#A54718,#2263E5
#A54718,#1A0D59
#A54718,#3018A5
#A54718,#4222E5
#A54718,#330D59
#A54718,#5F18A5
#A54718,#8322E5
#A54718,#4C0D59
#A54718,#8E18A5
#A54718,#C422E5
#A54718,#590D3F
#A54718,#A51876
#A54718,#E522A4
#A54718,#590D26
#A54718,#A51847
#A54718,#E52263
#E56322,#590D0D
#E56322,#A51818
#E56322,#E52222
#E56322,#59260D
#E56322,#A54718
#E56322,#59330D
#E56322,#A55F18
#E56322,#E58322
#E56322,#59460D
#E56322,#A58218
#E56322,#E5B422
#E56322,#59590D
#E56322,#A5A518
#E56322,#E5E522
#E56322,#3F590D
#E56322,#76A518
#E56322,#A4E522
#E56322,#26590D
#E56322,#47A518
#E56322,#63E522
#E56322,#0D590D
#E56322,#18A518
#E56322,#22E522
#E56322,#0D5926
#E56322,#18A547
#E56322,#22E563
#E56322,#0D593F
#E56322,#18A576
#E56322,#22E5A4
#E56322,#0D5959
#E56322,#18A5A5
#E56322,#22E5E5
#E56322,#0D3F59
#E56322,#1876A5
#E56322,#22A4E5
#E56322,#0D2659
#E56322,#1847A5
#E56322,#2263E5
#E56322,#1A0D59
#E56322,#3018A5
#E56322,#4222E5
#E56322,#330D59
#E56322,#5F18A5
#E56322,#8322E5
#E56322,#4C0D59
#E56322,#8E18A5
#E56322,#C422E5
#E56322,#590D3F
#E56322,#A51876
#E56322,#E522A4
#E56322,#590D26
#E56322,#A51847
#E56322,#E52263
#59330D,#590D0D
#59330D,#A51818
#59330D,#E52222
#59330D,#59260D
#59330D,#A54718
#59330D,#E56322
#59330D,#A55F18
#59330D,#E58322
#59330D,#59460D
#59330D,#A58218
#59330D,#E5B422
#59330D,#59590D
#59330D,#A5A518
#59330D,#E5E522
#59330D,#3F590D
#59330D,#76A518
#59330D,#A4E522
#59330D,#26590D
#59330D,#47A518
#59330D,#63E522
#59330D,#0D590D
#59330D,#18A518
#59330D,#22E522
#59330D,#0D5926
#59330D,#18A547
#59330D,#22E563
#59330D,#0D593F
#59330D,#18A576
#59330D,#22E5A4
#59330D,#0D5959
#59330D,#18A5A5
#59330D,#22E5E5
#59330D,#0D3F59
#59330D,#1876A5
#59330D,#22A4E5
#59330D,#0D2659
#59330D,#1847A5
#59330D,#2263E5
#59330D,#1A0D59
#59330D,#3018A5
#59330D,#4222E5
#59330D,#330D59
#59330D,#5F18A5
#59330D,#8322E5
#59330D,#4C0D59
#59330D,#8E18A5
#59330D,#C422E5
#59330D,#590D3F
#59330D,#A51876
#59330D,#E522A4
#59330D,#590D26
#59330D,#A51847
#59330D,#E52263
#A55F18,#590D0D
#A55F18,#A51818
#A55F18,#E52222
#A55F18,#59260D
#A55F18,#A54718
#A55F18,#E56322
#A55F18,#59330D
#A55F18,#E58322
#A55F18,#59460D
#A55F18,#A58218
#A55F18,#E5B422
#A55F18,#59590D
#A55F18,#A5A518
#A55F18,#E5E522
#A55F18,#3F590D
#A55F18,#76A518
#A55F18,#A4E522
#A55F18,#26590D
#A55F18,#47A518
#A55F18,#63E522
#A55F18,#0D590D
#A55F18,#18A518
#A55F18,#22E522
#A55F18,#0D5926
#A55F18,#18A547
#A55F18,#22E563
#A55F18,#0D593F
#A55F18,#18A576
#A55F18,#22E5A4
#A55F18,#0D5959
#A55F18,#18A5A5
#A55F18,#22E5E5
#A55F18,#0D3F59
#A55F18,#1876A5
#A55F18,#22A4E5
#A55F18,#0D2659
#A55F18,#1847A5
#A55F18,#2263E5
#A55F18,#1A0D59
#A55F18,#3018A5
#A55F18,#4222E5
#A55F18,#330D59
#A55F18,#5F18A5
#A55F18,#8322E5
#A55F18,#4C0D59
#A55F18,#8E18A5
#A55F18,#C422E5
#A55F18,#590D3F
#A55F18,#A51876
#A55F18,#E522A4
#A55F18,#590D26
#A55F18,#A51847
#A55F18,#E52263
#E58322,#590D0D
#E58322,#A51818
#E58322,#E52222
#E58322,#59260D
#E58322,#A54718
#E58322,#E56322
#E58322,#59330D
#E58322,#A55F18
#E58322,#59460D
#E58322,#A58218
#E58322,#E5B422
#E58322,#59590D
#E58322,#A5A518
#E58322,#E5E522
#E58322,#3F590D
#E58322,#76A518
#E58322,#A4E522
#E58322,#26590D
#E58322,#47A518
#E58322,#63E522
#E58322,#0D590D
#E58322,#18A518
#E58322,#22E522
#E58322,#0D5926
#E58322,#18A547
#E58322,#22E563
#E58322,#0D593F
#E58322,#18A576
#E58322,#22E5A4
#E58322,#0D5959
#E58322,#18A5A5
#E58322,#22E5E5
#E58322,#0D3F59
#E58322,#1876A5
#E58322,#22A4E5
#E58322,#0D2659
#E58322,#1847A5
#E58322,#2263E5
#E58322,#1A0D59
#E58322,#3018A5
#E58322,#4222E5
#E58322,#330D59
#E58322,#5F18A5
#E58322,#8322E5
#E58322,#4C0D59
#E58322,#8E18A5
#E58322,#C422E5
#E58322,#590D3F
#E58322,#A51876
#E58322,#E522A4
#E58322,#590D26
#E58322,#A51847
#E58322,#E52263
#59460D,#590D0D
#59460D,#A51818
#59460D,#E52222
#59460D,#59260D
#59460D,#A54718
#59460D,#E56322
#59460D,#59330D
#59460D,#A55F18
#59460D,#E58322
#59460D,#A58218
#59460D,#E5B422
#59460D,#59590D
#59460D,#A5A518
#59460D,#E5E522
#59460D,#3F590D
#59460D,#76A518
#59460D,#A4E522
#59460D,#26590D
#59460D,#47A518
#59460D,#63E522
#59460D,#0D590D
#59460D,#18A518
#59460D,#22E522
#59460D,#0D5926
#59460D,#18A547
#59460D,#22E563
#59460D,#0D593F
#59460D,#18A576
#59460D,#22E5A4
#59460D,#0D5959
#59460D,#18A5A5
#59460D,#22E5E5
#59460D,#0D3F59
#59460D,#1876A5
#59460D,#22A4E5
#59460D,#0D2659
#59460D,#1847A5
#59460D,#2263E5
#59460D,#1A0D59
#59460D,#3018A5
#59460D,#4222E5
#59460D,#330D59
#59460D,#5F18A5
#59460D,#8322E5
#59460D,#4C0D59
#59460D,#8E18A5
#59460D,#C422E5
#59460D,#590D3F
#59460D,#A51876
#59460D,#E522A4
#59460D,#590D26
#59460D,#A51847
#59460D,#E52263
#A58218,#590D0D
#A58218,#A51818
#A58218,#E52222
#A58218,#59260D
#A58218,#A54718
#A58218,#E56322
#A58218,#59330D
#A58218,#A55F18
#A58218,#E58322
#A58218,#59460D
#A58218,#E5B422
#A58218,#59590D
#A58218,#A5A518
#A58218,#E5E522
#A58218,#3F590D
#A58218,#76A518
#A58218,#A4E522
#A58218,#26590D
#A58218,#47A518
#A58218,#63E522
#A58218,#0D590D
#A58218,#18A518
#A58218,#22E522
#A58218,#0D5926
#A58218,#18A547
#A58218,#22E563
#A58218,#0D593F
#A58218,#18A576
#A58218,#22E5A4
#A58218,#0D5959
#A58218,#18A5A5
#A58218,#22E5E5
#A58218,#0D3F59
#A58218,#1876A5
#A58218,#22A4E5
#A58218,#0D2659
#A58218,#1847A5
#A58218,#2263E5
#A58218,#1A0D59
#A58218,#3018A5
#A58218,#4222E5
#A58218,#330D59
#A58218,#5F18A5
#A58218,#8322E5
#A58218,#4C0D59
#A58218,#8E18A5
#A58218,#C422E5
#A58218,#590D3F
#A58218,#A51876
#A58218,#E522A4
#A58218,#590D26
#A58218,#A51847
#A58218,#E52263
#E5B422,#590D0D
#E5B422,#A51818
#E5B422,#E52222
#E5B422,#59260D
#E5B422,#A54718
#E5B422,#E56322
#E5B422,#59330D
#E5B422,#A55F18
#E5B422,#E58322
#E5B422,#59460D
#E5B422,#A58218
#E5B422,#59590D
#E5B422,#A5A518
#E5B422,#E5E522
#E5B422,#3F590D
#E5B422,#76A518
#E5B422,#A4E522
#E5B422,#26590D
#E5B422,#47A518
#E5B422,#63E522
#E5B422,#0D590D
#E5B422,#18A518
#E5B422,#22E522
#E5B422,#0D5926
#E5B422,#18A547
#E5B422,#22E563
#E5B422,#0D593F
#E5B422,#18A576
#E5B422,#22E5A4
#E5B422,#0D5959
#E5B422,#18A5A5
#E5B422,#22E5E5
#E5B422,#0D3F59
#E5B422,#1876A5
#E5B422,#22A4E5
#E5B422,#0D2659
#E5B422,#1847A5
#E5B422,#2263E5
#E5B422,#1A0D59
#E5B422,#3018A5
#E5B422,#4222E5
#E5B422,#330D59
#E5B422,#5F18A5
#E5B422,#8322E5
#E5B422,#4C0D59
#E5B422,#8E18A5
#E5B422,#C422E5
#E5B422,#590D3F
#E5B422,#A51876
#E5B422,#E522A4
#E5B422,#590D26
#E5B422,#A51847
#E5B422,#E52263
#59590D,#590D0D
#59590D,#A51818
#59590D,#E52222
#59590D,#59260D
#59590D,#A54718
#59590D,#E56322
#59590D,#59330D
#59590D,#A55F18
#59590D,#E58322
#59590D,#59460D
#59590D,#A58218
#59590D,#E5B422
#59590D,#A5A518
#59590D,#E5E522
#59590D,#3F590D
#59590D,#76A518
#59590D,#A4E522
#59590D,#26590D
#59590D,#47A518
#59590D,#63E522
#59590D,#0D590D
#59590D,#18A518
#59590D,#22E522
#59590D,#0D5926
#59590D,#18A547
#59590D,#22E563
#59590D,#0D593F
#59590D,#18A576
#59590D,#22E5A4
#59590D,#0D5959
#59590D,#18A5A5
#59590D,#22E5E5
#59590D,#0D3F59
#59590D,#1876A5
#59590D,#22A4E5
#59590D,#0D2659
#59590D,#1847A5
#59590D,#2263E5
#59590D,#1A0D59
#59590D,#3018A5
#59590D,#4222E5
#59590D,#330D59
#59590D,#5F18A5
#59590D,#8322E5
#59590D,#4C0D59
#59590D,#8E18A5
#59590D,#C422E5
#59590D,#590D3F
#59590D,#A51876
#59590D,#E522A4
#59590D,#590D26
#59590D,#A51847
#59590D,#E52263
#A5A518,#590D0D
#A5A518,#A51818
#A5A518,#E52222
#A5A518,#59260D
#A5A518,#A54718
#A5A518,#E56322
#A5A518,#59330D
#A5A518,#A55F18
#A5A518,#E58322
#A5A518,#59460D
#A5A518,#A58218
#A5A518,#E5B422
#A5A518,#59590D
#A5A518,#E5E522
#A5A518,#3F590D
#A5A518,#76A518
#A5A518,#A4E522
#A5A518,#26590D
#A5A518,#47A518
#A5A518,#63E522
#A5A518,#0D590D
#A5A518,#18A518
#A5A518,#22E522
#A5A518,#0D5926
#A5A518,#18A547
#A5A518,#22E563
#A5A518,#0D593F
#A5A518,#18A576
#A5A518,#22E5A4
#A5A518,#0D5959
#A5A518,#18A5A5
#A5A518,#22E5E5
#A5A518,#0D3F59
#A5A518,#1876A5
#A5A518,#22A4E5
#A5A518,#0D2659
#A5A518,#1847A5
#A5A518,#2263E5
#A5A518,#1A0D59
#A5A518,#3018A5
#A5A518,#4222E5
#A5A518,#330D59
#A5A518,#5F18A5
#A5A518,#8322E5
#A5A518,#4C0D59
#A5A518,#8E18A5
#A5A518,#C422E5
#A5A518,#590D3F
#A5A518,#A51876
#A5A518,#E522A4
#A5A518,#590D26
#A5A518,#A51847
#A5A518,#E52263
#E5E522,#590D0D
#E5E522,#A51818
#E5E522,#E52222
#E5E522,#59260D
#E5E522,#A54718
#E5E522,#E56322
#E5E522,#59330D
#E5E522,#A55F18
#E5E522,#E58322
#E5E522,#59460D
#E5E522,#A58218
#E5E522,#E5B422
#E5E522,#59590D
#E5E522,#A5A518
#E5E522,#3F590D
#E5E522,#76A518
#E5E522,#A4E522
#E5E522,#26590D
#E5E522,#47A518
#E5E522,#63E522
#E5E522,#0D590D
#E5E522,#18A518
#E5E522,#22E522
#E5E522,#0D5926
#E5E522,#18A547
#E5E522,#22E563
#E5E522,#0D593F
#E5E522,#18A576
#E5E522,#22E5A4
#E5E522,#0D5959
#E5E522,#18A5A5
#E5E522,#22E5E5
#E5E522,#0D3F59
#E5E522,#1876A5
#E5E522,#22A4E5
#E5E522,#0D2659
#E5E522,#1847A5
#E5E522,#2263E5
#E5E522,#1A0D59
#E5E522,#3018A5
#E5E522,#4222E5
#E5E522,#330D59
#E5E522,#5F18A5
#E5E522,#8322E5
#E5E522,#4C0D59
#E5E522,#8E18A5
#E5E522,#C422E5
#E5E522,#590D3F
#E5E522,#A51876
#E5E522,#E522A4
#E5E522,#590D26
#E5E522,#A51847
#E5E522,#E52263
#3F590D,#590D0D
#3F590D,#A51818
#3F590D,#E52222
#3F590D,#59260D
#3F590D,#A54718
#3F590D,#E56322
#3F590D,#59330D
#3F590D,#A55F18
#3F590D,#E58322
#3F590D,#59460D
#3F590D,#A58218
#3F590D,#E5B422
#3F590D,#59590D
#3F590D,#A5A518
#3F590D,#E5E522
#3F590D,#76A518
#3F590D,#A4E522
#3F590D,#26590D
#3F590D,#47A518
#3F590D,#63E522
#3F590D,#0D590D
#3F590D,#18A518
#3F590D,#22E522
#3F590D,#0D5926
#3F590D,#18A547
#3F590D,#22E563
#3F590D,#0D593F
#3F590D,#18A576
#3F590D,#22E5A4
#3F590D,#0D5959
#3F590D,#18A5A5
#3F590D,#22E5E5
#3F590D,#0D3F59
#3F590D,#1876A5
#3F590D,#22A4E5
#3F590D,#0D2659
#3F590D,#1847A5
#3F590D,#2263E5
#3F590D,#1A0D59
#3F590D,#3018A5
#3F590D,#4222E5
#3F590D,#330D59
#3F590D,#5F18A5
#3F590D,#8322E5
#3F590D,#4C0D59
#3F590D,#8E18A5
#3F590D,#C422E5
#3F590D,#590D3F
#3F590D,#A51876
#3F590D,#E522A4
#3F590D,#590D26
#3F590D,#A51847
#3F590D,#E52263
#76A518,#590D0D
#76A518,#A51818
#76A518,#E52222
#76A518,#59260D
#76A518,#A54718
#76A518,#E56322
#76A518,#59330D
#76A518,#A55F18
#76A518,#E58322
#76A518,#59460D
#76A518,#A58218
#76A518,#E5B422
#76A518,#59590D
#76A518,#A5A518
#76A518,#E5E522
#76A518,#3F590D
#76A518,#A4E522
#76A518,#26590D
#76A518,#47A518
#76A518,#63E522
#76A518,#0D590D
#76A518,#18A518
#76A518,#22E522
#76A518,#0D5926
#76A518,#18A547
#76A518,#22E563
#76A518,#0D593F
#76A518,#18A576
#76A518,#22E5A4
#76A518,#0D5959
#76A518,#18A5A5
#76A518,#22E5E5
#76A518,#0D3F59
#76A518,#1876A5
#76A518,#22A4E5
#76A518,#0D2659
#76A518,#1847A5
#76A518,#2263E5
#76A518,#1A0D59
#76A518,#3018A5
#76A518,#4222E5
#76A518,#330D59
#76A518,#5F18A5
#76A518,#8322E5
#76A518,#4C0D59
#76A518,#8E18A5
#76A518,#C422E5
#76A518,#590D3F
#76A518,#A51876
#76A518,#E522A4
#76A518,#590D26
#76A518,#A51847
#76A518,#E52263
#A4E522,#590D0D
#A4E522,#A51818
#A4E522,#E52222
#A4E522,#59260D
#A4E522,#A54718
#A4E522,#E56322
#A4E522,#59330D
#A4E522,#A55F18
#A4E522,#E58322
#A4E522,#59460D
#A4E522,#A58218
#A4E522,#E5B422
#A4E522,#59590D
#A4E522,#A5A518
#A4E522,#E5E522
#A4E522,#3F590D
#A4E522,#76A518
#A4E522,#26590D
#A4E522,#47A518
#A4E522,#63E522
#A4E522,#0D590D
#A4E522,#18A518
#A4E522,#22E522
#A4E522,#0D5926
#A4E522,#18A547
#A4E522,#22E563
#A4E522,#0D593F
#A4E522,#18A576
#A4E522,#22E5A4
#A4E522,#0D5959
#A4E522,#18A5A5
#A4E522,#22E5E5
#A4E522,#0D3F59
#A4E522,#1876A5
#A4E522,#22A4E5
#A4E522,#0D2659
#A4E522,#1847A5
#A4E522,#2263E5
#A4E522,#1A0D59
#A4E522,#3018A5
#A4E522,#4222E5
#A4E522,#330D59
#A4E522,#5F18A5
#A4E522,#8322E5
#A4E522,#4C0D59
#A4E522,#8E18A5
#A4E522,#C422E5
#A4E522,#590D3F
#A4E522,#A51876
#A4E522,#E522A4
#A4E522,#590D26
